JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2412125.345833,2.7,,,Vis.,MWK,,,,,JD corrected from 2414682.345800; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.370139,2.7,,,Vis.,MWK,,,,,JD corrected from 2414682.370100; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.386111,2.8,,,Vis.,MWK,,,,,JD corrected from 2414682.386100; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.413194,3.0,,,Vis.,MWK,,,,,JD corrected from 2414682.413200; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.458333,3.0,,,Vis.,MWK,,,,,JD corrected from 2414682.458300; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2412125.496528,3.2,,,Vis.,MWK,,,,,JD corrected from 2414682.496500; not rec.,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414681.283,1.7,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414682.284,2.6,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414688.295,2.7,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414688.367,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414699.431,2.3,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414708.369,2.3,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414713.358,2.6,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414714.367,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414715.361,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414716.361,2.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414718.415,2.2,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414719.365,2.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414723.351,3.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414723.368,3.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414723.385,2.7,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414727.36,2.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414728.372,2.1,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414729.377,2.0,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2414940.386,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.271,2.6,,,Vis.,MIAE,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.292,2.5,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.353,2.9,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.36,2.7,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.368,3.0,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.378,3.0,,,Vis.,MIAE,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.378,3.0,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.388,3.3,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.41,3.3,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.424,3.2,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.448,2.9,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.465,2.9,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415044.476,2.8,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415045.265,2.8,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415047.292,3.2,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415057.297,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415058.458,2.1,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415058.578,2.7,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415059.351,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415065.418,2.5,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.257,2.7,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.274,3.0,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.278,3.0,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.281,2.9,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.282,2.6,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.289,2.9,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.351,3.1,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.356,3.3,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415067.361,3.3,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415070.351,2.7,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415071.384,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415073.383,2.4,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415076.344,2.3,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415083.433,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415095.385,2.3,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415096.364,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415099.366,2.3,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415107.378,2.5,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415110.344,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415110.361,3.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415126.372,2.3,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415130.368,3.2,,,Vis.,OAA,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415254.426,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415262.436,2.9,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415282.399,3.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415305.349,3.3,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415305.381,3.2,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415305.398,2.9,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415305.417,2.9,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415312.378,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415314.39,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415337.394,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415342.392,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415351.306,2.1,,,Vis.,WJZ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415367.271,2.3,,,Vis.,WJZ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415369.421,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415375.413,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415421.359,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415422.281,2.5,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415429.41,2.4,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415430.367,2.5,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415430.38,2.4,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415431.344,2.4,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415431.358,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415431.378,2.5,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415433.449,2.3,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.302,2.6,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.315,2.4,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.337,2.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.342,2.7,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.356,2.7,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.372,2.9,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.396,3.3,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.411,3.6,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.427,3.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415454.476,3.5,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415458.406,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415462.366,2.2,,,Vis.,WLX,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415466.38,2.2,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415606.406,3.5,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415606.483,3.2,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415606.5,2.8,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415649.455,2.8,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415649.472,2.8,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415649.535,2.5,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415649.552,2.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415674.388,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415677.392,2.2,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415678.269,2.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415678.294,2.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415678.368,2.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415703.406,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415755.33,2.5,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415755.375,2.6,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415755.455,2.7,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.417,3.2,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.43,3.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.438,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.444,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.453,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.461,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.476,3.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415778.487,3.2,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.26,3.0,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.29,3.1,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.292,3.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.349,3.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.38,2.9,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.385,2.8,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.403,2.7,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.422,2.6,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.431,2.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.437,2.6,,,Vis.,CBC,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.455,2.4,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415781.48,2.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415788.431,2.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415791.448,2.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415809.378,2.3,,,Vis.,KLH,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415821.333370,2.92,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415821.3310,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.296614,3.40,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.2940,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.307615,3.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3050,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.335,3.0,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415824.352618,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3500,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.361,2.9,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415824.363619,3.25,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3610,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.374620,3.07,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3720,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.387621,3.00,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3850,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.417,2.8,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415824.431,2.7,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415824.445626,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.459627,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4570,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415856.382,2.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415864.365,3.2,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415864.378,3.3,,,Vis.,LOQ,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415987.443,2.3,,,Vis.,OAW,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415988.437,2.3,,,Vis.,OAW,,,,unknown,NE,,,Z,,,,BETA PER,BAA-VSS,STD,,,,BAAVSS
2415990.365085,2.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3660,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.380083,2.71,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3810,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.408081,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4090,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.425079,2.59,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4260,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.455077,2.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4560,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.470075,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4710,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.482074,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4830,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.498073,3.06,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4990,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.515071,2.98,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5160,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.528070,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5290,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.543069,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5440,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.560067,3.29,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5610,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
